party,per_14,per_19
NPF,47.31%,35.57%
SDF,44.15%,35.59%
KEC(M),36.52%,34.89%
SWP,32.91%,23.27%
SKM,32.89%,38.45%
ADMK,32.33%,24.76%
TDP,30.60%,31.76%
AINRC,28.38%,25.47%
BJP,26.24%,31.18%
NULL,25.45%,0.00%
SAD,24.01%,23.34%
TRS,23.91%,25.91%
YSRCP,23.68%,39.43%
NULL,22.14%,0.00%
LJP,20.05%,30.45%
VCK,19.75%,5.03%
DMK,19.69%,39.19%
RSP,19.04%,7.74%
NULL,19.02%,0.00%
NULL,18.71%,0.00%
BVA,18.61%,26.07%
BLSP,17.96%,17.42%
NULL,17.53%,0.00%
INLD,17.39%,1.33%
RJD,16.17%,17.76%
NCP,15.89%,14.04%
PMK,15.63%,21.04%
INC,14.59%,16.95%
NULL,13.85%,0.00%
NULL,13.76%,0.00%
AITC,11.52%,24.65%
SHS,11.05%,7.46%
BOPF,10.93%,25.15%
UDP,10.89%,22.31%
JKN,10.72%,6.99%
DMDK,10.58%,15.47%
JKPDP,10.44%,3.10%
NULL,9.49%,0.00%
AIUDF,9.12%,28.71%
NULL,8.12%,0.00%
AIMIM,6.88%,21.83%
JVM,6.77%,21.26%
JD(S),6.75%,28.06%
PPA,6.19%,3.45%
SP,6.07%,17.41%
JPC,5.98%,3.33%
NULL,5.83%,0.00%
RSPS,5.73%,0.14%
NPEP,5.51%,3.28%
JMM,5.10%,9.02%
CPI,4.74%,4.47%
RLD,4.43%,28.26%
JD(U),4.20%,21.69%
NULL,4.07%,0.00%
JKP,3.73%,0.58%
AJSUP,3.55%,39.30%
AGP,3.47%,28.05%
NULL,3.39%,0.00%
BSP,3.02%,3.40%
IUML,2.87%,10.88%
NULL,2.74%,0.00%
NULL,2.37%,0.00%
NULL,2.25%,0.00%
AIFB,1.99%,0.56%
AAAP,1.73%,4.76%
NULL,1.36%,0.00%
SDPI,1.05%,0.87%
JHP,0.97%,0.81%
BBM,0.92%,0.18%
IPFT,0.89%,3.42%
CPI(ML)(L),0.85%,1.90%
RP(K),0.83%,0.09%
NULL,0.79%,0.00%
NULL,0.79%,0.00%
NULL,0.74%,0.00%
NOTA,0.69%,0.72%
ABML(S),0.69%,0.14%
pjdl,0.62%,0.05%
GGP,0.61%,0.54%
WPOI,0.61%,0.67%
PECP,0.59%,0.12%
NULL,0.53%,0.00%
NULL,0.52%,0.00%
SBSP,0.52%,0.72%
HiPPa,0.51%,0.20%
NULL,0.50%,0.00%
NULL,0.49%,0.00%
NULL,0.47%,0.00%
RSWD,0.44%,0.47%
NULL,0.44%,0.00%
NULL,0.43%,0.00%
NULL,0.43%,0.00%
NULL,0.43%,0.00%
NULL,0.43%,0.00%
NULL,0.40%,0.00%
NULL,0.40%,0.00%
ravp,0.40%,0.57%
RUC,0.40%,0.16%
NULL,0.40%,0.00%
NULL,0.39%,0.00%
AKBJHP,0.39%,0.52%
NULL,0.39%,0.00%
JDR,0.38%,0.54%
NULL,0.38%,0.00%
NULL,0.37%,0.00%
RPI,0.37%,0.11%
NULL,0.36%,0.00%
AKBMP,0.36%,0.56%
JKP(N),0.35%,0.56%
NULL,0.35%,0.00%
JPJD,0.35%,0.14%
NULL,0.35%,0.00%
NULL,0.35%,0.00%
NULL,0.34%,0.00%
BNJD,0.34%,0.24%
NULL,0.33%,0.00%
IND,0.33%,0.28%
SWJP,0.33%,0.11%
RKSP,0.32%,0.14%
jhspt,0.32%,0.07%
NULL,0.31%,0.00%
NULL,0.31%,0.00%
NULL,0.31%,0.00%
AMB,0.31%,0.24%
NULL,0.31%,0.00%
PPOI,0.31%,0.09%
MADP,0.30%,0.25%
NULL,0.30%,0.00%
NULL,0.30%,0.00%
SaSaP,0.30%,0.14%
IUC,0.30%,0.12%
NULL,0.29%,0.00%
BBMP,0.29%,0.58%
ABJS,0.29%,0.07%
NULL,0.29%,0.00%
JKNPP,0.29%,0.32%
RPI(A),0.28%,0.12%
BJKD,0.28%,0.22%
NULL,0.28%,0.00%
RaJSP,0.28%,0.23%
NULL,0.27%,0.00%
NULL,0.27%,0.00%
ADUP,0.27%,0.48%
NULL,0.27%,0.00%
NULL,0.27%,0.00%
JHAP,0.27%,0.25%
SAD(M),0.26%,1.66%
DABAP,0.26%,0.10%
LPSP,0.26%,0.02%
NULL,0.26%,0.00%
BMF,0.26%,0.18%
SWSP,0.26%,0.12%
RDHP,0.26%,0.02%
ARPS,0.25%,0.09%
JeSM,0.25%,0.18%
NULL,0.25%,0.00%
NULL,0.25%,0.00%
PRSP,0.25%,0.26%
PMSP,0.25%,0.15%
NULL,0.25%,0.00%
JMM(U),0.25%,0.68%
ARP,0.25%,0.12%
ASP,0.24%,0.25%
RaAD,0.24%,0.07%
NULL,0.24%,0.00%
PSS,0.24%,0.12%
BCUF,0.24%,0.04%
NULL,0.24%,0.00%
NULL,0.24%,0.00%
CSM,0.24%,0.07%
RsAD,0.23%,0.20%
MDPF,0.23%,0.13%
JPS,0.23%,0.08%
KMBS,0.23%,0.09%
BJKVP,0.23%,0.34%
ABHM,0.23%,0.30%
NULL,0.23%,0.00%
NULL,0.23%,0.00%
ILP(AP),0.23%,0.07%
PRISM,0.23%,0.01%
RSMD,0.23%,0.20%
NULL,0.22%,0.00%
NULL,0.22%,0.00%
NDEP,0.22%,0.06%
NULL,0.21%,0.00%
ETMK,0.21%,0.12%
PDS,0.21%,0.15%
BKPP,0.21%,0.53%
BMSM,0.21%,0.08%
NULL,0.21%,0.00%
NULL,0.21%,0.00%
