constituencies,party,diff,diff_rank,rank_19
"Chidambaram ",ADMK,-8.79%,1,1
Sikkim,SDF,-8.56%,1,1
Vellore,ADMK,-8.48%,1,2
Hindupur,TDP,-7.93%,1,2
Sangli,SWP,-7.85%,1,2
"Paschim Champaran",BLSP,-7.15%,1,1
Medak,TRS,-5.62%,1,2
"Khammam ",TRS,-5.54%,1,1
Ghosi,PECP,-5.44%,1,2
Domariyaganj,PECP,-5.39%,1,1
Jhanjharpur,RPI(A),-3.87%,1,1
RAJNANDGAON,RP(K),-3.14%,1,1
Nalanda,RPI,-3.06%,1,1
Sirsa,INLD,-27.70%,1,1
Kurukshetra,INLD,-26.83%,1,2
"Outer manipur",NPF,-24.74%,1,1
Mirzapur,RSPS,-24.53%,1,1
Balurghat,RSP,-21.39%,1,2
Barasat,AIFB,-20.01%,1,1
Puducherry,AINRC,-2.91%,1,1
Bidar,ABML(S),-2.34%,1,1
"Hingoli ",SHS,-2.24%,1,2
Baramati,NCP,-2.09%,1,2
Purulia,AIFB,-19.13%,1,2
Visakhapatnam,VCK,-17.75%,1,2
"SOUTH DELHI                   ",AAAP,-15.50%,1,2
Lohardaga,JKP,-14.33%,1,1
Bijapur,BBM,-14.10%,1,1
Anantnag,JKPDP,-12.54%,1,2
Ladakh,IND,-11.99%,1,1
"ARUNACHAL WEST",NPEP,-11.85%,1,2
Hatkanangle,SWP,-11.71%,1,1
Baramulla,JKPDP,-11.34%,1,1
Sangrur,AAAP,-10.39%,1,1
Salempur,SBSP,-1.96%,1,1
Shimoga,PPOI,-1.80%,1,1
Hyderabad,AIMIM,-1.76%,1,1
CHEVELLA,pjdl,-1.71%,1,1
Kottayam,KEC(M),-1.63%,1,1
Jangipur,WPOI,-1.61%,1,1
"Daman & diu",IND,-1.40%,1,2
"Dakshina Kannada",SDPI,-1.28%,1,1
Siwan,CPI(ML)(L),-1.27%,1,2
Ranchi,RPI(A),-0.94%,1,2
Gorakhpur,SP(I),-0.72%,1,1
Khagaria,BMUP,-0.69%,1,1
Azamgarh,RUC,-0.68%,1,1
"Solapur ",HJP,-0.65%,1,2
Rajampet,RKSP,-0.60%,1,1
MANDLA,GGP,-0.59%,1,1
Dharmapuri,PMK,-0.53%,1,1
Machhlishahr,RPI,-0.50%,1,2
"Chennai central",SDPI,-0.47%,1,2
"Bangalore North",GaAP,-0.45%,1,1
Arrah,ABJS,-0.43%,1,1
Amethi,JPS,-0.40%,1,2
Aonla,VIP,-0.29%,1,2
Chandauli,PMSP,-0.25%,1,1
"Tripura East",AMB,-0.25%,1,1
Lucknow,INL,-0.20%,1,2
RAJGARH,SamSP,-0.13%,1,1
Baghpat,NaLP,-0.11%,1,1
Kannauj,BaVaP,-0.11%,1,1
Secundrabad,NIP,-0.11%,1,2
Ballia,JRPa,-0.06%,1,1
"Tura ",NPEP,1.66%,2,1
Muzaffarnagar,MKUP,0.02%,2,1
Karakat,BLSP,-4.95%,2,2
"Bapatla ",TDP,-4.73%,2,1
"ARUNACHAL EAST",PPA,-3.60%,2,1
"Cooch behar",WPOI,-2.44%,2,2
Baramulla,JKN,-2.14%,2,1
Srinagar,JKN,-2.13%,2,2
Lakshadweep,NCP,-1.99%,2,1
Bathinda,SAD,-1.67%,2,2
Chikkodi,BBM,-1.09%,2,2
"Bangalore Rural",PPOI,-0.87%,2,2
VIDISHA,PRSP,-0.75%,2,1
Jaynagar,AITC,-0.61%,2,2
Lalganj,RUC,-0.52%,2,2
"Kolkata Uttar",RAHM,-0.47%,2,1
"Purvi Champaran",JPS,-0.47%,2,1
Maharajganj,jhspt,-0.40%,2,1
Kalahandi,BMUP,-0.39%,2,2
"Aruku ",NOTA,-0.36%,2,1
