candidate,constituencies,per,party,state
"Dharam Vira Gandhi",Patiala,9.29%,NAWPP,Punjab
"Rajesh Ranjan @ Pappu Yadav",Madhepura,5.18%,JAPL,Bihar
"HOLIRAM TERANG","Autonomous District",4.64%,ASDC,Assam
"Arun Kumar Mypathi","Mahabubabad  ",4.01%,TJS,Telangana
"Vidya Nand Ram","Samastipur (SC)",1.75%,WAP,Bihar
"TBC LALVENCHHUNGA",MIZORAM,1.68%,PRISMP,Mizoram
"Devendra Prasad Yadav",Jhanjharpur,1.38%,SJDD,Bihar
"Vaishali Sudhakar Yede",Yavatmal-Washim,1.08%,PHJSP,Maharashtra
"Md. Abul Kalam Azad",Supaul,0.81%,JHP,Bihar
"Radheshyam Inshan",Mirzapur,0.77%,BRPI,"Uttar Pradesh"
"Anil Jayram Rathod",Yavatmal-Washim,0.77%,BRPI,"Uttar Pradesh"
"Dr. Sudarshan Lohar","Keonjhar ",0.72%,RAIM,Odisha
"MANGALARAM KARMA",BASTAR,0.72%,ABSKP,Chhattisgarh
"KRISHNA MARDI",Singhbhum,0.68%,JMM(U),Jharkhand
"S R DARAPURI",Robertsganj,0.64%,AIPF,"Uttar Pradesh"
"Ramesh Kumar Mishra",Sitamarhi,0.63%,RAHIS,Bihar
"Bir Devinder Singh","Anandpur Sahib",0.61%,SADT,Punjab
"YALLA VENKATA RAMA MOHAN RAO (DORABABU)",Kakinada,0.61%,SADT,Punjab
"Vijendra Kumar",Sikar,0.61%,BJSTP,Rajasthan
"BIPIN NATH TIWARI ALIAS BIPIN TIWARI","Paschim Champaran",0.60%,LAJSP,Bihar
"Sunil Paswan","Gaya (SC)",0.58%,BBMP,Bihar
"MAHESHWARI DEVJIBHAI VACHHIYABHAI",Kachchh,0.58%,JKP,Jharkhand
"ARBIND KUMAR",Jahanabad,0.57%,ravp,Bihar
"ANAND KUMAR JHA",Madhubani,0.56%,AKBMP,Bihar
"TH. JAGDISH SINGH PARMAR",RAJGARH,0.55%,SamSP,"Madhya Pradesh"
"SRIHARI PATNAIK",Berhampur,0.55%,OPD,Odisha
"DAS SAMIRAN",Bolpur,0.54%,NPRP,Telangana
"KUMRAM VANDANA","Adilabad ",0.54%,NPRP,Telangana
"SUNIL JETHALAL VAGHELA",Jamnagar,0.53%,BKPP,"Uttar Pradesh"
"Upendra Singh Rajput",Firozabad,0.53%,BKPP,"Uttar Pradesh"
"Maheswar Hembram",Jhargram,0.52%,AKBJHP,"West Bengal"
"AMIT ATMARAM KORGAONKAR","North Goa",0.50%,RPI(KM),Goa
"SHAILESH KUMAR",Pataliputra,0.50%,BhAmAP,Bihar
"AVINASH SINGH SHARMA",CHANDIGARH,0.49%,CHKAP,Chandigarh
"K. Shyambabu Subudhi",Aska,0.49%,ADRP,Assam
"DILIP MORAN",Lakhimpur,0.49%,ADRP,Assam
AMIRUDDIN,"Kushi Nagar",0.48%,ADUP,"Uttar Pradesh"
PRABHUDAYAL,Robertsganj,0.48%,ADUP,"Uttar Pradesh"
"JYOTI RASHMI",Karakat,0.47%,RSWD,Bihar
"DR. B. L. VERMA",Pratapgarh,0.47%,BAEP,"Uttar Pradesh"
"ISRAR AHAMAD",Deoria,0.47%,BAEP,"Uttar Pradesh"
"HALPATI RAJESHBHAI BHANABHAI","Dadra And Nagar Haveli",0.46%,NSBHP,"Dadra & Nagar Haveli"
"BIRAJ ADHIKARI",Sikkim,0.46%,HMSKP,Sikkim
"Anil Anna",Dhule,0.44%,LKSGM,Maharashtra
NOTA,Kannauj,0.44%,YKP,Bihar
"SHIV KUMAR SINGH",Pataliputra,0.43%,APKSP,Bihar
"HARKA BAHADUR CHHETRI",Darjeeling,0.40%,AIJAP,"West Bengal"
"Advocate Vimla Arya",Almora,0.40%,UPP,Uttarakhand
"Sanjay Sardar",Supaul,0.37%,LSD,Bihar
NOTA,Wardha,0.37%,LSD,Bihar
"DHIRAJ KUMAR RAI",Sikkim,0.35%,SKPP,Sikkim
"Gyani Jaiswal",SIDHI,0.35%,SADSP,"Madhya Pradesh"
"AJAY KUMAR SHARMA",Jaunpur,0.34%,GJNP,Bihar
"ASHARAM RATNAKAR",JANJGIR-CHAMPA,0.34%,BJKVP,Bihar
"Chandra Prakash Meena",Dausa,0.34%,NPSF,Rajasthan
"P.V.A. Ananda Sagar",Vizianagaram,0.33%,SAPRP,"Andhra Pradesh"
"Sushma Kumari",Vaishali,0.33%,SAPRP,"Andhra Pradesh"
"JAHANGIR KHAN",Baramulla,0.33%,RMGP,Bihar
"Shiva Bihari Singhania",Muzaffarpur,0.33%,BhNP,Bihar
"SIBIL KANDULNA",Khunti,0.32%,RTSGP,Jharkhand
"LUHAR HAFIJHUSEN HAJINURMAHMAD",Sabarkantha,0.32%,RTSGP,Jharkhand
"JAYAPRAKASH SETHI",Puri,0.32%,AMiP,Bihar
"SUNIL KUMAR",Jaunpur,0.31%,RASJGP,"Uttar Pradesh"
"Ramchandra Prasad",Nalanda,0.31%,AJM,Assam
"Shiv Dutt Shukla",Allahabad,0.30%,ANNADATA,"Uttar Pradesh"
"M. SAVITHA",Arakkonam,0.30%,ANNADATA,"Uttar Pradesh"
"YELLA VENU GOPAL RAO",Narsapuram,0.30%,NVSP,"Andhra Pradesh"
"JANI KARAN",KHARGONE,0.29%,MPJVP,"Madhya Pradesh"
