party,per_2019,per_2014,state
BJP,49.93%,41.99%,"Daman & Diu"
BJP,49.93%,41.17%,Goa
BJP,49.93%,41.09%,"Dadra & Nagar Haveli"
BJP,49.93%,37.56%,Gujarat
BJP,49.93%,36.26%,"Arunachal Pradesh"
BJP,49.93%,34.64%,Rajasthan
BJP,49.93%,34.37%,"Himachal Pradesh"
BJP,49.93%,34.09%,Uttarakhand
BJP,49.93%,33.77%,"Andaman & Nicobar Islands"
BJP,49.93%,33.28%,"Madhya Pradesh"
BJP,49.93%,33.00%,Maharashtra
BJP,49.93%,31.77%,Assam
BJP,49.93%,31.10%,Chandigarh
BJP,49.93%,30.91%,Haryana
BJP,49.93%,30.20%,"NCT OF Delhi"
BJP,49.93%,28.89%,Karnataka
BJP,49.93%,27.09%,Punjab
BJP,49.93%,25.59%,Jharkhand
BJP,49.93%,25.35%,"Uttar Pradesh"
BJP,49.93%,22.07%,Bihar
BJP,49.93%,21.70%,Telangana
BJP,49.93%,16.88%,"Tamil Nadu"
BJP,49.93%,16.07%,"Jammu & Kashmir"
BJP,49.93%,13.83%,"West Bengal"
BJP,49.93%,9.79%,Meghalaya
BJP,49.93%,9.48%,Manipur
BJP,49.93%,8.48%,Kerala
BJP,49.93%,4.83%,Tripura
BJP,49.93%,1.96%,Sikkim
BJP,49.93%,0.37%,Lakshadweep
BJP,47.25%,41.99%,"Daman & Diu"
BJP,47.25%,41.17%,Goa
BJP,47.25%,41.09%,"Dadra & Nagar Haveli"
BJP,47.25%,37.56%,Gujarat
BJP,47.25%,36.26%,"Arunachal Pradesh"
BJP,47.25%,34.64%,Rajasthan
BJP,47.25%,34.37%,"Himachal Pradesh"
BJP,47.25%,34.09%,Uttarakhand
BJP,47.25%,33.77%,"Andaman & Nicobar Islands"
BJP,47.25%,33.28%,"Madhya Pradesh"
BJP,47.25%,33.00%,Maharashtra
BJP,47.25%,31.77%,Assam
BJP,47.25%,31.10%,Chandigarh
BJP,47.25%,30.91%,Haryana
BJP,47.25%,30.20%,"NCT OF Delhi"
BJP,47.25%,28.89%,Karnataka
BJP,47.25%,27.09%,Punjab
BJP,47.25%,25.59%,Jharkhand
BJP,47.25%,25.35%,"Uttar Pradesh"
BJP,47.25%,22.07%,Bihar
BJP,47.25%,21.70%,Telangana
BJP,47.25%,16.88%,"Tamil Nadu"
BJP,47.25%,16.07%,"Jammu & Kashmir"
BJP,47.25%,13.83%,"West Bengal"
BJP,47.25%,9.79%,Meghalaya
BJP,47.25%,9.48%,Manipur
BJP,47.25%,8.48%,Kerala
BJP,47.25%,4.83%,Tripura
BJP,47.25%,1.96%,Sikkim
BJP,47.25%,0.37%,Lakshadweep
INC,45.71%,40.32%,Lakshadweep
INC,45.71%,37.93%,"Dadra & Nagar Haveli"
INC,45.71%,33.75%,"Daman & Diu"
INC,45.71%,33.19%,Manipur
INC,45.71%,32.41%,"Arunachal Pradesh"
INC,45.71%,30.87%,"Andaman & Nicobar Islands"
INC,45.71%,30.45%,Kerala
INC,45.71%,29.98%,Mizoram
INC,45.71%,28.16%,Goa
INC,45.71%,27.41%,Karnataka
INC,45.71%,26.47%,Nagaland
INC,45.71%,26.21%,"Himachal Pradesh"
INC,45.71%,26.09%,Meghalaya
INC,45.71%,25.77%,Assam
INC,45.71%,23.41%,"Jammu & Kashmir"
INC,45.71%,23.34%,Punjab
INC,45.71%,21.72%,Gujarat
INC,45.71%,21.63%,Puducherry
INC,45.71%,21.49%,"Madhya Pradesh"
INC,45.71%,20.97%,Uttarakhand
INC,45.71%,20.59%,Maharashtra
INC,45.71%,19.79%,Chandigarh
INC,45.71%,19.14%,Rajasthan
INC,45.71%,16.37%,Haryana
INC,45.71%,15.57%,Bihar
INC,45.71%,13.28%,Jharkhand
INC,45.71%,12.88%,Tripura
INC,45.71%,9.86%,"NCT OF Delhi"
INC,45.71%,8.79%,Telangana
INC,45.71%,7.87%,"West Bengal"
INC,45.71%,5.15%,"Uttar Pradesh"
INC,45.71%,3.18%,"Tamil Nadu"
INC,45.71%,1.94%,Sikkim
BJP,43.24%,41.99%,"Daman & Diu"
BJP,43.24%,41.17%,Goa
BJP,43.24%,41.09%,"Dadra & Nagar Haveli"
BJP,43.24%,37.56%,Gujarat
BJP,43.24%,36.26%,"Arunachal Pradesh"
BJP,43.24%,34.64%,Rajasthan
BJP,43.24%,34.37%,"Himachal Pradesh"
BJP,43.24%,34.09%,Uttarakhand
BJP,43.24%,33.77%,"Andaman & Nicobar Islands"
BJP,43.24%,33.28%,"Madhya Pradesh"
BJP,43.24%,33.00%,Maharashtra
BJP,43.24%,31.77%,Assam
BJP,43.24%,31.10%,Chandigarh
BJP,43.24%,30.91%,Haryana
BJP,43.24%,30.20%,"NCT OF Delhi"
BJP,43.24%,28.89%,Karnataka
BJP,43.24%,27.09%,Punjab
BJP,43.24%,25.59%,Jharkhand
BJP,43.24%,25.35%,"Uttar Pradesh"
BJP,43.24%,22.07%,Bihar
BJP,43.24%,21.70%,Telangana
BJP,43.24%,16.88%,"Tamil Nadu"
BJP,43.24%,16.07%,"Jammu & Kashmir"
BJP,43.24%,13.83%,"West Bengal"
BJP,43.24%,9.79%,Meghalaya
BJP,43.24%,9.48%,Manipur
BJP,43.24%,8.48%,Kerala
BJP,43.24%,4.83%,Tripura
BJP,43.24%,1.96%,Sikkim
BJP,43.24%,0.37%,Lakshadweep
NPEP,42.46%,40.80%,Meghalaya
NPEP,42.46%,5.02%,Rajasthan
NPEP,42.46%,0.35%,"Madhya Pradesh"
NCP,41.41%,43.40%,Lakshadweep
NCP,41.41%,29.82%,Bihar
NCP,41.41%,21.41%,Maharashtra
NCP,41.41%,15.62%,Gujarat
NCP,41.41%,6.71%,Manipur
NCP,41.41%,2.96%,Karnataka
NCP,41.41%,1.36%,"Arunachal Pradesh"
NCP,41.41%,0.82%,"Dadra & Nagar Haveli"
NCP,41.41%,0.72%,Rajasthan
NCP,41.41%,0.43%,"Andaman & Nicobar Islands"
NCP,41.41%,0.39%,"Uttar Pradesh"
NCP,41.41%,0.31%,Telangana
NCP,41.41%,0.15%,Punjab
BJP,41.27%,41.99%,"Daman & Diu"
BJP,41.27%,41.17%,Goa
BJP,41.27%,41.09%,"Dadra & Nagar Haveli"
BJP,41.27%,37.56%,Gujarat
BJP,41.27%,36.26%,"Arunachal Pradesh"
BJP,41.27%,34.64%,Rajasthan
BJP,41.27%,34.37%,"Himachal Pradesh"
BJP,41.27%,34.09%,Uttarakhand
BJP,41.27%,33.77%,"Andaman & Nicobar Islands"
BJP,41.27%,33.28%,"Madhya Pradesh"
BJP,41.27%,33.00%,Maharashtra
BJP,41.27%,31.77%,Assam
BJP,41.27%,31.10%,Chandigarh
BJP,41.27%,30.91%,Haryana
BJP,41.27%,30.20%,"NCT OF Delhi"
BJP,41.27%,28.89%,Karnataka
BJP,41.27%,27.09%,Punjab
BJP,41.27%,25.59%,Jharkhand
BJP,41.27%,25.35%,"Uttar Pradesh"
BJP,41.27%,22.07%,Bihar
BJP,41.27%,21.70%,Telangana
BJP,41.27%,16.88%,"Tamil Nadu"
BJP,41.27%,16.07%,"Jammu & Kashmir"
BJP,41.27%,13.83%,"West Bengal"
BJP,41.27%,9.79%,Meghalaya
BJP,41.27%,9.48%,Manipur
BJP,41.27%,8.48%,Kerala
BJP,41.27%,4.83%,Tripura
BJP,41.27%,1.96%,Sikkim
BJP,41.27%,0.37%,Lakshadweep
NDPP,41.24%,NULL,NULL
IUML,40.76%,34.31%,Kerala
IUML,40.76%,15.69%,"Tamil Nadu"
IUML,40.76%,0.68%,Jharkhand
IUML,40.76%,0.53%,"Madhya Pradesh"
IUML,40.76%,0.36%,Bihar
IUML,40.76%,0.22%,"West Bengal"
IUML,40.76%,0.16%,Punjab
IUML,40.76%,0.09%,Assam
IUML,40.76%,0.06%,Maharashtra
IUML,40.76%,0.05%,Telangana
IUML,40.76%,0.03%,"Uttar Pradesh"
BJP,40.75%,41.99%,"Daman & Diu"
BJP,40.75%,41.17%,Goa
BJP,40.75%,41.09%,"Dadra & Nagar Haveli"
BJP,40.75%,37.56%,Gujarat
BJP,40.75%,36.26%,"Arunachal Pradesh"
BJP,40.75%,34.64%,Rajasthan
BJP,40.75%,34.37%,"Himachal Pradesh"
BJP,40.75%,34.09%,Uttarakhand
BJP,40.75%,33.77%,"Andaman & Nicobar Islands"
BJP,40.75%,33.28%,"Madhya Pradesh"
BJP,40.75%,33.00%,Maharashtra
BJP,40.75%,31.77%,Assam
BJP,40.75%,31.10%,Chandigarh
BJP,40.75%,30.91%,Haryana
BJP,40.75%,30.20%,"NCT OF Delhi"
BJP,40.75%,28.89%,Karnataka
BJP,40.75%,27.09%,Punjab
BJP,40.75%,25.59%,Jharkhand
BJP,40.75%,25.35%,"Uttar Pradesh"
BJP,40.75%,22.07%,Bihar
BJP,40.75%,21.70%,Telangana
BJP,40.75%,16.88%,"Tamil Nadu"
BJP,40.75%,16.07%,"Jammu & Kashmir"
BJP,40.75%,13.83%,"West Bengal"
BJP,40.75%,9.79%,Meghalaya
BJP,40.75%,9.48%,Manipur
BJP,40.75%,8.48%,Kerala
BJP,40.75%,4.83%,Tripura
BJP,40.75%,1.96%,Sikkim
BJP,40.75%,0.37%,Lakshadweep
BJP,40.37%,41.99%,"Daman & Diu"
BJP,40.37%,41.17%,Goa
BJP,40.37%,41.09%,"Dadra & Nagar Haveli"
BJP,40.37%,37.56%,Gujarat
BJP,40.37%,36.26%,"Arunachal Pradesh"
BJP,40.37%,34.64%,Rajasthan
BJP,40.37%,34.37%,"Himachal Pradesh"
BJP,40.37%,34.09%,Uttarakhand
BJP,40.37%,33.77%,"Andaman & Nicobar Islands"
BJP,40.37%,33.28%,"Madhya Pradesh"
BJP,40.37%,33.00%,Maharashtra
BJP,40.37%,31.77%,Assam
BJP,40.37%,31.10%,Chandigarh
BJP,40.37%,30.91%,Haryana
BJP,40.37%,30.20%,"NCT OF Delhi"
BJP,40.37%,28.89%,Karnataka
BJP,40.37%,27.09%,Punjab
BJP,40.37%,25.59%,Jharkhand
BJP,40.37%,25.35%,"Uttar Pradesh"
BJP,40.37%,22.07%,Bihar
BJP,40.37%,21.70%,Telangana
BJP,40.37%,16.88%,"Tamil Nadu"
BJP,40.37%,16.07%,"Jammu & Kashmir"
BJP,40.37%,13.83%,"West Bengal"
BJP,40.37%,9.79%,Meghalaya
BJP,40.37%,9.48%,Manipur
BJP,40.37%,8.48%,Kerala
BJP,40.37%,4.83%,Tripura
BJP,40.37%,1.96%,Sikkim
BJP,40.37%,0.37%,Lakshadweep
BJP,40.34%,41.99%,"Daman & Diu"
BJP,40.34%,41.17%,Goa
BJP,40.34%,41.09%,"Dadra & Nagar Haveli"
BJP,40.34%,37.56%,Gujarat
BJP,40.34%,36.26%,"Arunachal Pradesh"
BJP,40.34%,34.64%,Rajasthan
BJP,40.34%,34.37%,"Himachal Pradesh"
BJP,40.34%,34.09%,Uttarakhand
BJP,40.34%,33.77%,"Andaman & Nicobar Islands"
BJP,40.34%,33.28%,"Madhya Pradesh"
BJP,40.34%,33.00%,Maharashtra
BJP,40.34%,31.77%,Assam
BJP,40.34%,31.10%,Chandigarh
BJP,40.34%,30.91%,Haryana
BJP,40.34%,30.20%,"NCT OF Delhi"
BJP,40.34%,28.89%,Karnataka
BJP,40.34%,27.09%,Punjab
BJP,40.34%,25.59%,Jharkhand
BJP,40.34%,25.35%,"Uttar Pradesh"
BJP,40.34%,22.07%,Bihar
BJP,40.34%,21.70%,Telangana
BJP,40.34%,16.88%,"Tamil Nadu"
BJP,40.34%,16.07%,"Jammu & Kashmir"
BJP,40.34%,13.83%,"West Bengal"
BJP,40.34%,9.79%,Meghalaya
BJP,40.34%,9.48%,Manipur
BJP,40.34%,8.48%,Kerala
BJP,40.34%,4.83%,Tripura
BJP,40.34%,1.96%,Sikkim
BJP,40.34%,0.37%,Lakshadweep
BJP,40.07%,41.99%,"Daman & Diu"
BJP,40.07%,41.17%,Goa
BJP,40.07%,41.09%,"Dadra & Nagar Haveli"
BJP,40.07%,37.56%,Gujarat
BJP,40.07%,36.26%,"Arunachal Pradesh"
BJP,40.07%,34.64%,Rajasthan
BJP,40.07%,34.37%,"Himachal Pradesh"
BJP,40.07%,34.09%,Uttarakhand
BJP,40.07%,33.77%,"Andaman & Nicobar Islands"
BJP,40.07%,33.28%,"Madhya Pradesh"
BJP,40.07%,33.00%,Maharashtra
BJP,40.07%,31.77%,Assam
BJP,40.07%,31.10%,Chandigarh
BJP,40.07%,30.91%,Haryana
BJP,40.07%,30.20%,"NCT OF Delhi"
BJP,40.07%,28.89%,Karnataka
BJP,40.07%,27.09%,Punjab
BJP,40.07%,25.59%,Jharkhand
BJP,40.07%,25.35%,"Uttar Pradesh"
BJP,40.07%,22.07%,Bihar
BJP,40.07%,21.70%,Telangana
BJP,40.07%,16.88%,"Tamil Nadu"
BJP,40.07%,16.07%,"Jammu & Kashmir"
BJP,40.07%,13.83%,"West Bengal"
BJP,40.07%,9.79%,Meghalaya
BJP,40.07%,9.48%,Manipur
BJP,40.07%,8.48%,Kerala
BJP,40.07%,4.83%,Tripura
BJP,40.07%,1.96%,Sikkim
BJP,40.07%,0.37%,Lakshadweep
INC,39.91%,40.32%,Lakshadweep
INC,39.91%,37.93%,"Dadra & Nagar Haveli"
INC,39.91%,33.75%,"Daman & Diu"
INC,39.91%,33.19%,Manipur
INC,39.91%,32.41%,"Arunachal Pradesh"
INC,39.91%,30.87%,"Andaman & Nicobar Islands"
INC,39.91%,30.45%,Kerala
INC,39.91%,29.98%,Mizoram
INC,39.91%,28.16%,Goa
INC,39.91%,27.41%,Karnataka
INC,39.91%,26.47%,Nagaland
INC,39.91%,26.21%,"Himachal Pradesh"
INC,39.91%,26.09%,Meghalaya
INC,39.91%,25.77%,Assam
INC,39.91%,23.41%,"Jammu & Kashmir"
INC,39.91%,23.34%,Punjab
INC,39.91%,21.72%,Gujarat
INC,39.91%,21.63%,Puducherry
INC,39.91%,21.49%,"Madhya Pradesh"
INC,39.91%,20.97%,Uttarakhand
