ID,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,PS_ID,Can_ID,abbreviation,PCN_ID
19KCD_APA1_BE1TDP,Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,MALE,72,ST,TDP,Bicycle,336163,1938,338101,1451418,BE1,KCD,AP,A1
19DKKVVVSR_APA1_LS2BJP,Andhra Pradesh,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54,ST,BJP,Lotus,17578,289,17867,1451418,LS2,DKKVVVSR,AP,A1
19GM_APA1_CN3YSRCP,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418,CN3,GM,AP,A1
19SDV_APA1_HD4INC,Andhra Pradesh,Aruku ,SHRUTI DEVI VYRICHERLA,FEMALE,46,ST,INC,Hand,17656,74,17730,1451418,HD4,SDV,AP,A1
19GV_APA1_GR5JnP,Andhra Pradesh,Aruku ,GANGULAIAH VAMPURU.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794,1451418,GR5,GV,AP,A1
19SS_APA1_ME6JAJGP,Andhra Pradesh,Aruku ,SWAMULA. SUBRAHMANYAM,MALE,50,ST,JAJGP,Mike,4705,5,4710,1451418,ME6,SS,AP,A1
19AV_APA1_HR7IND,Andhra Pradesh,Aruku ,ANUMULA VAMSIKRISHNA,MALE,41,ST,IND,Helicopter,10211,29,10240,1451418,HR7,AV,AP,A1
19KB_APA1_CR8IND,Andhra Pradesh,Aruku ,KANGALA BALUDORA,MALE,61,ST,IND,Cup & Saucer,13810,16,13826,1451418,CR8,KB,AP,A1
19NS_APA1_BS9IND,Andhra Pradesh,Aruku ,NARAVA SATYAVATHI,FEMALE,37,ST,IND,Bangles,11231,5,11236,1451418,BS9,NS,AP,A1
19BR_APA1_BH10IND,Andhra Pradesh,Aruku ,BIDDIKA RAMAYYA.,MALE,57,ST,IND,Battery Torch,7863,4,7867,1451418,BH10,BR,AP,A1
19N_APA1_NA11NOTA,Andhra Pradesh,Aruku ,NOTA,NULL,NULL,NULL,NOTA,NOTA,47955,22,47977,1451418,NA11,N,AP,A1
19KRMN_APS2_BE1TDP,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544,1553860,BE1,KRMN,AP,S2
19DJ_APS2_HD4INC,Andhra Pradesh,Srikakulam,DOLA JAGAN,MALE,53,GENERAL,INC,Hand,13456,289,13745,1553860,HD4,DJ,AP,S2
19DS_APS2_CN3YSRCP,Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,1553860,CN3,DS,AP,S2
19PSM_APS2_LS2BJP,Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390,1553860,LS2,PSM,AP,S2
19MSC_APS2_FE12PPOI,Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,MALE,37,GENERAL,PPOI,FLUTE,1441,7,1448,1553860,FE12,MSC,AP,S2
19MR_APS2_GR5JnP,Andhra Pradesh,Srikakulam,METTA RAMARAO,MALE,53,GENERAL,JnP,Glass Tumbler,31319,637,31956,1553860,GR5,MR,AP,S2
