party,state,pc_name,candidate,Sum of total_votes,Sum of total_electors
A S P,Uttar Pradesh,Agra,CHANDRAPAL HASMUKH BAVJIBHAI,557,1814739
Aa S P,NCT OF Delhi,NORTH WEST DELHI,MUNNA SINGH,1749,2194343
Aa S P,Uttar Pradesh,Lalganj,DINESH KUMAR,1733,1661470
AAAP,Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,6576,587831
AAAP,Arunachal Pradesh,ARUNACHAL WEST,HABUNG PAYENG,3647,446640
AAAP,Assam,Dhubri,SYED ALAMDAR HUSSAIN,4468,1550166
AAAP,Assam,Gauhati,PRANJAL BORDOLOY,4809,1922270
AAAP,Assam,Jorhat,MANOROM GOGOI,3659,1189486
AAAP,Assam,Kaliabor,TOPON KUMAR GOGOI,2584,1457219
AAAP,Assam,Karimganj,TARUN KUMAR DAS,3658,1165997
AAAP,Assam,Lakhimpur,DR. CHANDRA BEN,2893,1431080
AAAP,Assam,Mangaldoi,NAMRATA SARMA,3424,1515676
AAAP,Assam,Silchar,ABDUL WARIS,3118,1060175
AAAP,Bihar,Araria,CHANDRA BHUSHAN KANWAR ADHIVAKTA L L M,5685,1587332
AAAP,Bihar,Arrah,KUMAR,7518,1824515
AAAP,Bihar,Aurangabad,MUNNA SINGH,6703,1536153
AAAP,Bihar,Banka,KUMAR,6058,1549456
AAAP,Bihar,Begusarai,SUNIL KUMAR,8639,1778759
AAAP,Bihar,Bhagalpur,SATYENDRA KUMAR,7316,1823820
AAAP,Bihar,Bhagalpur,YOGENDRA RAM,5830,1685339
AAAP,Bihar,Buxar,SHRIMATI HEMLATA PATHAK,7879,1640671
AAAP,Bihar,Darbhanga,CHANDAN DAS,7550,1495445
AAAP,Bihar,Gaya (SC),DHANANJAY KISHORE,7312,1501521
AAAP,Bihar,Hajipur (SC),RAJ KR. PASWAN,6344,1649547
AAAP,Bihar,Jahanabad,MANOJ SHARMA,3711,1423246
AAAP,Bihar,Jamui (SC),VINOD KUMAR,7159,1550936
AAAP,Bihar,Jhanjharpur,SHRUTI DEVI VYRICHERLA,9441,1668405
AAAP,Bihar,Karakat,GHULAM KUNDANAM,6938,1580558
AAAP,Bihar,Katihar,ANAND KUMAR JHA,4323,1446478
AAAP,Bihar,Khagaria,VIVEK,14491,1506587
AAAP,Bihar,Kishanganj,ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,15010,1438990
AAAP,Bihar,Kishanganj,Alimuddin Ansari,9822,1659651
AAAP,Bihar,Madhepura,MD. MINHAZ ALAM,9538,1725693
AAAP,Bihar,Madhubani,SHRIMATI HEMLATA PATHAK,9718,1627832
AAAP,Bihar,Maharajganj,GEETA RANI KUSHWAH,6430,1642068
AAAP,Bihar,Munger,SANDEEP,7481,1719984
AAAP,Bihar,Muzaffarpur,SUMAN,6945,1551363
AAAP,Bihar,Nalanda,KOTLA JAYA SURYA PRAKASH REDDY,18224,1951967
AAAP,Bihar,Nawada,BRIJENDRA SINGH,4057,1694895
AAAP,Bihar,Paschim Champaran,MUNNA SINGH,4297,1413148
AAAP,Bihar,Pataliputra,MUNNA SINGH,5637,1736074
AAAP,Bihar,Patna Sahib,ADVOCATE PARVEEN YADAV WAZIRABAD,16381,1946249
AAAP,Bihar,Purnia,RAM NIRANJAN ROY,16630,1582626
AAAP,Bihar,Purvi Champaran,KUMAR,7512,1439253
AAAP,Bihar,Samastipur (SC),GANESH,9954,1504451
AAAP,Bihar,Saran,DURGESH SINGH CHAUHAN,5099,1538740
AAAP,Bihar,Sasaram (SC),GEETA,11005,1607747
AAAP,Bihar,Sheohar,VIDYA SAHU,8256,1485801
AAAP,Bihar,Sitamarhi,PARAVASTU SATYA GOPINATH DAS,18043,1574914
AAAP,Bihar,Sitamarhi,Raghunath Kumar,9009,1752454
AAAP,Bihar,Siwan,OM PRAKASH PANDEY,10542,1563860
AAAP,Bihar,Supaul,HEMA JHA,9604,1525583
AAAP,Bihar,Ujiarpur,SURESH SAH,8917,1426217
AAAP,Bihar,Vaishali,RAJKISHORE PRASAD ALIAS PAPPU YADAV,7768,1566321
AAAP,Bihar,Valmiki Nagar,ANMISH VARMA,6008,1456598
AAAP,Chandigarh,CHANDIGARH,DASWINDER KAUR,108679,615214
AAAP,Chandigarh,CHANDIGARH,HARMOHAN DHAWAN,13781,646729
AAAP,Dadra & Nagar Haveli,Dadar & Nagar Haveli,AMARJIT PATEL,621,196597
AAAP,Daman & Diu,Daman & diu,KESSUR GOAN,729,111827
AAAP,Goa,North Goa,DATTATRAYA PADGAONKAR,4756,556761
AAAP,Goa,North Goa,DESAI ISHVARBHAI MAHADEVBHAI,15857,515441
AAAP,Goa,South Goa,Dr. K. S. RADHAKRISHNAN,11246,545336
AAAP,Goa,South Goa,ELVIS GOMES,20891,579352
AAAP,Gujarat,Ahmedabad East,BABULAL AMARSHI VAGHELA,11349,1601832
AAAP,Gujarat,Ahmedabad West,Ullagi David Jayakumar (Dr. D J Kumar),17332,1534400
AAAP,Gujarat,Amreli,SUKHADIYA NATHALAL VALLABHBHAI,15520,1486286
AAAP,Gujarat,Anand,G S RAJU,2442,1496859
AAAP,Gujarat,Banaskantha,KUMAR,6571,1515711
AAAP,Gujarat,Bardoli,HARI CHAND,10842,1614106
AAAP,Gujarat,Bharuch,MANOJ RANA,4818,1417548
AAAP,Gujarat,Bhavnagar,Y. V. Suresh,49540,1594531
AAAP,Gujarat,Chhota Udaipur,ARJUN,23116,1536305
