ID,state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,PS_ID,Can_ID,abbreviation,PCN_ID
14NSB_TGA1_CR1TRS,Telangana,Adilabad ,NAGESH SUBHASH BOBATE,M,49,ST,TRS,Car,425762,5085,430847,1386282,CR1,NSB,TG,A1
14NKP_TGA1_HD2INC,Telangana,Adilabad ,NARESH KUMAR POOJALA,M,37,ST,INC,Hand,257994,1563,259557,1386282,HD2,NKP,TG,A1
14RR_TGA1_BE3TDP,Telangana,Adilabad ,RATHOD RAMESH,M,48,ST,TDP,Bicycle,182879,1319,184198,1386282,BE3,RR,TG,A1
14RGB_TGA1_ET4BSP,Telangana,Adilabad ,RATHOD GOVINDBHAI BHIKHABHAI,M,55,ST,BSP,Elephant,94363,57,94420,1386282,ET4,RGB,TG,A1
14NR_TGA1_AW5IND,Telangana,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,1386282,AW5,NR,TG,A1
14NKM_TGA1_BT6IND,Telangana,Adilabad ,NAMBALLA KRISHNA MOHAN,M,33,ST,IND,Bat,5051,4,5055,1386282,BT6,NKM,TG,A1
14BS_TGA1_GR7IND,Telangana,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,1386282,GR7,BS,TG,A1
14MC_TGA1_AH8IND,Telangana,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,1386282,AH8,MC,TG,A1
14NotA_TGA1_NA9NOTA,Telangana,Adilabad ,None of the Above,NULL,NULL,,NOTA,NOTA,17021,63,17084,1386282,NA9,NotA,TG,A1
14BRJ_TGP2_BE3TDP,Telangana,Peddapalle ,BABU RAM JAMOR,M,42,SC,TDP,Bicycle,63174,160,63334,1425355,BE3,BRJ,TG,P2
14RL_TGP2_ET4BSP,Telangana,Peddapalle ,RATTAN LAL,M,37,SC,BSP,Elephant,9430,19,9449,1425355,ET4,RL,TG,P2
14S_TGP2_CR1TRS,Telangana,Peddapalle ,SUMAN,M,31,SC,TRS,Car,563214,2282,565496,1425355,CR1,S,TG,P2
14V_TGP2_HD2INC,Telangana,Peddapalle ,VIVEK,M,56,SC,INC,Hand,273441,897,274338,1425355,HD2,V,TG,P2
14AHSR_TGP2_TN10PPOI,Telangana,Peddapalle ,Adv. HARI SHANKAR RAJVANS,M,44,SC,PPOI,Television,9288,2,9290,1425355,TN10,AHSR,TG,P2
14ADSK_TGP2_SE11RPI,Telangana,Peddapalle ,AYUSHMAN DOCTOR SANJEEV KUMAR,M,37,SC,RPI,Sewing Machine,8609,0,8609,1425355,SE11,ADSK,TG,P2
14DKKVVVSR_TGP2_CS12BCUF,Telangana,Peddapalle ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,58,SC,BCUF,Chappals,2245,0,2245,1425355,CS12,DKKVVVSR,TG,P2
14KRRKR_TGP2_CR13NIP,Telangana,Peddapalle ,KANUMURU RAGHU RAMA KRISHNA RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,1425355,CR13,KRRKR,TG,P2
14DKKVVVSR_TGP2_RG14MaSP,Telangana,Peddapalle ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,42,SC,MaSP,Ring,3861,5,3866,1425355,RG14,DKKVVVSR,TG,P2
14VM_TGP2_AW5RP(K),Telangana,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,1425355,AW5,VM,TG,P2
14YVRMRD_TGP2_SS15IND,Telangana,Peddapalle ,YALLA VENKATA RAMA MOHAN RAO (DORABABU),M,43,SC,IND,Scissors,2741,1,2742,1425355,SS15,YVRMRD,TG,P2
14V_TGP2_CN16IND,Telangana,Peddapalle ,VINAY,M,65,SC,IND,Ceiling Fan,3263,3,3266,1425355,CN16,V,TG,P2
14R_TGP2_GR7IND,Telangana,Peddapalle ,RAMESH,M,43,SC,IND,Gas Cylinder,2359,2,2361,1425355,GR7,R,TG,P2
14RD_TGP2_BH17IND,Telangana,Peddapalle ,RAMA DEVI,F,37,SC,IND,Battery Torch,9199,0,9199,1425355,BH17,RD,TG,P2
14MS_TGP2_CS18IND,Telangana,Peddapalle ,MEDA SRINIVAS,M,35,SC,IND,Candles,3698,1,3699,1425355,CS18,MS,TG,P2
14H_TGP2_BT6IND,Telangana,Peddapalle ,H.NARAYANA,M,30,SC,IND,Bat,7255,3,7258,1425355,BT6,H,TG,P2
14R_TGP2_AH8IND,Telangana,Peddapalle ,RAVI,M,33,SC,IND,Almirah,2671,3,2674,1425355,AH8,R,TG,P2
14NotA_TGP2_NA9NOTA,Telangana,Peddapalle ,None of the Above,NULL,NULL,,NOTA,NOTA,5344,17,5361,1425355,NA9,NotA,TG,P2
14NRR_TGK3_LS19BJP,Telangana,Karimnagar ,NUTHAKKI RAMA RAO,M,73,GEN,BJP,Lotus,213836,992,214828,1550810,LS19,NRR,TG,K3
14PKS_TGK3_HD2INC,Telangana,Karimnagar ,PRABHAKAR KRUSHNAJI SATPAISE,M,47,GEN,INC,Hand,298386,2320,300706,1550810,HD2,PKS,TG,K3
14R_TGK3_CK20NCP,Telangana,Karimnagar ,RAVI,M,42,GEN,NCP,Clock,4768,1,4769,1550810,CK20,R,TG,K3
14BJVG_TGK3_ET4BSP,Telangana,Karimnagar ,B. JAYA VENU GOPAL,M,53,SC,BSP,Elephant,11289,39,11328,1550810,ET4,BJVG,TG,K3
14VK_TGK3_CR1TRS,Telangana,Karimnagar ,VINOD KUMAR,M,54,GEN,TRS,Car,503197,2161,505358,1550810,CR1,VK,TG,K3
14DV_TGK3_CT21BMUP,Telangana,Karimnagar ,DR.DHARMAIAH VENDAVETLA,M,61,SC,BMUP,Cot,3771,1,3772,1550810,CT21,DV,TG,K3
14KPR_TGK3_TN10PPOI,Telangana,Karimnagar ,K. PRABHAKARA REDDY,M,48,GEN,PPOI,Television,3942,1,3943,1550810,TN10,KPR,TG,K3
14DKKVVVSR_TGK3_CN16YSRCP,Telangana,Karimnagar ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,44,GEN,YSRCP,Ceiling Fan,3071,4,3075,1550810,CN16,DKKVVVSR,TG,K3
14RL_TGK3_CR13NIP,Telangana,Karimnagar ,RANAVENI LAKSHMAN,M,41,GEN,NIP,Cup & Saucer,2061,1,2062,1550810,CR13,RL,TG,K3
14MS_TGK3_SE11RPI(A),Telangana,Karimnagar ,MEDA SRINIVAS,M,46,SC,RPI(A),Sewing Machine,8033,1,8034,1550810,SE11,MS,TG,K3
14SM_TGK3_AW5WPOI,Telangana,Karimnagar ,SHAIK MAHMOOD,M,58,GEN,WPOI,Auto- Rickshaw,39300,8,39308,1550810,AW5,SM,TG,K3
14U_TGK3_BT6IND,Telangana,Karimnagar ,UPPULETI.LAXMAN,M,49,SC,IND,Bat,2445,0,2445,1550810,BT6,U,TG,K3
14PKS_TGK3_GE22IND,Telangana,Karimnagar ,PRABHAKAR KRUSHNAJI SATPAISE,M,45,GEN,IND,Gas Stove,4727,1,4728,1550810,GE22,PKS,TG,K3
14R_TGK3_BH17IND,Telangana,Karimnagar ,RAMESH,M,34,SC,IND,Battery Torch,1772,1,1773,1550810,BH17,R,TG,K3
14JLNY_TGK3_CT23IND,Telangana,Karimnagar ,JANGITE LAKSHMI NARASIMHA YADAV,M,26,GEN,IND,Coconut,2757,0,2757,1550810,CT23,JLNY,TG,K3
14MY_TGK3_KE24IND,Telangana,Karimnagar ,MOHAMMED YOUSUF,M,45,GEN,IND,Kite,6713,0,6713,1550810,KE24,MY,TG,K3
14DKKVVVSR_TGK3_CD25IND,Telangana,Karimnagar ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,41,GEN,IND,Carrom Board,3851,0,3851,1550810,CD25,DKKVVVSR,TG,K3
14NotA_TGK3_NA9NOTA,Telangana,Karimnagar ,None of the Above,NULL,NULL,,NOTA,NOTA,5722,12,5734,1550810,NA9,NotA,TG,K3
14L_TGN4_LS19BJP,Telangana,Nizamabad,LAKSHMI,M,51,GEN,BJP,Lotus,222876,2457,225333,1496193,LS19,L,TG,N4
14KK_TGN4_CR1TRS,Telangana,Nizamabad,KALVAKUNTLA KAVITHA,F,36,GEN,TRS,Car,435706,3601,439307,1496193,CR1,KK,TG,N4
14PGT_TGN4_ET4BSP,Telangana,Nizamabad,PEDDA GANGADHAR TALARI,M,46,SC,BSP,Elephant,7398,23,7421,1496193,ET4,PGT,TG,N4
14MGY_TGN4_HD2INC,Telangana,Nizamabad,MADHU GOUD YASKHI,M,56,GEN,INC,Hand,270948,1175,272123,1496193,HD2,MGY,TG,N4
14AWK_TGN4_CS12BCUF,Telangana,Nizamabad,ABDUL WAHID KHAN,M,39,GEN,BCUF,Chappals,4791,0,4791,1496193,CS12,AWK,TG,N4
14VVKUB_TGN4_TN10PPOI,Telangana,Nizamabad,VEERABHADRAPPA VEERAPPA KABBINADA URF BANDI,M,53,GEN,PPOI,Television,3649,2,3651,1496193,TN10,VVKUB,TG,N4
14AK_TGN4_AW5WPOI,Telangana,Nizamabad,AYUB KHAN,M,47,GEN,WPOI,Auto- Rickshaw,43738,76,43814,1496193,AW5,AK,TG,N4
14RS_TGN4_BM26AAAP,Telangana,Nizamabad,RAPELLY SRINIVAS,M,39,GEN,AAAP,Broom,2613,8,2621,1496193,BM26,RS,TG,N4
14MASPD_TGN4_CT21BMUP,Telangana,Nizamabad,MANOHAR Alias SAGAR PUNDLIKRAO DABRASE,M,32,SC,BMUP,Cot,1952,26,1978,1496193,CT21,MASPD,TG,N4
14R_TGN4_CN16YSRCP,Telangana,Nizamabad,RAVI,M,46,GEN,YSRCP,Ceiling Fan,3508,21,3529,1496193,CN16,R,TG,N4
14AAK_TGN4_BT6IND,Telangana,Nizamabad,AHMED ALI KHAN,M,44,GEN,IND,Bat,1599,2,1601,1496193,BT6,AAK,TG,N4
14PKS_TGN4_GE22IND,Telangana,Nizamabad,PRABHAKAR KRUSHNAJI SATPAISE,M,45,GEN,IND,Gas Stove,3988,2,3990,1496193,GE22,PKS,TG,N4
14KNN_TGN4_GR7IND,Telangana,Nizamabad,KOTAPATI NARSIMHAM NAIDU,M,56,GEN,IND,Gas Cylinder,2458,4,2462,1496193,GR7,KNN,TG,N4
14BSM_TGN4_CR13IND,Telangana,Nizamabad,B. S. MALLIKARJUNAIAH,M,66,GEN,IND,Cup & Saucer,2817,0,2817,1496193,CR13,BSM,TG,N4
14CV_TGN4_CT23IND,Telangana,Nizamabad,CHIRULINGADRULA VENKATESHAM,M,40,GEN,IND,Coconut,3091,0,3091,1496193,CT23,CV,TG,N4
14HBM_TGN4_AH8IND,Telangana,Nizamabad,H B MANJAPPA,M,49,ST,IND,Almirah,8129,0,8129,1496193,AH8,HBM,TG,N4
14NotA_TGN4_NA9NOTA,Telangana,Nizamabad,None of the Above,NULL,NULL,,NOTA,NOTA,7244,22,7266,1496193,NA9,NotA,TG,N4
